Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
21,HRX by Hrithik Roshan,HRX-001 12 Running Shoes For Men,"₹1,058",4.1,"27,079 ratings and 1,951 reviews",https://www.flipkart.com/hrx-hrithik-roshan-hrx-001-12-running-shoes-men/p/itmf1826181056c2?pid=SHOGXFHZQH5YPYJS&lid=LSTSHOGXFHZQH5YPYJSE3GZBY&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=4ee3cf81-9c3a-46fb-90c0-42e9cb93fdf7.SHOGXFHZQH5YPYJS.SEARCH&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
22,Skechers,"Casual Sneaker Shoes for Men | Elegantly Rounded Front, Soothing Insole Sneakers For Men","₹2,107",4.2,702 ratings and 48 reviews,https://www.flipkart.com/red-tape-casual-sneaker-shoes-men-elegantly-rounded-front-soothing-insole-sneakers/p/itm182ffbd321607?pid=SHOH3PZ2YHXYYFRC&lid=LSTSHOH3PZ2YHXYYFRCVSBCML&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_95&otracker=search&otracker1=search&fm=organic&iid=4ee3cf81-9c3a-46fb-90c0-42e9cb93fdf7.SHOH3PZ2YHXYYFRC.SEARCH&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
23,KILLER,KL8044 Lightweight Comfort Summer Trendy Premium Stylish Loafers For Men,₹674,3.7,"5,467 ratings and 264 reviews",https://www.flipkart.com/killer-kl8044-lightweight-comfort-summer-trendy-premium-stylish-loafers-men/p/itm015f72ed4c7eb?pid=SHOGFDGYCNXSD5RW&lid=LSTSHOGFDGYCNXSD5RWMLRSL9&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_97&otracker=search&otracker1=search&fm=organic&iid=en_7Mor9f7gaAvbCXL1BJV6j4vGE4mleb83VTTbNApaaNMo-86G_5uZOcnITb0kCQLWn1jlezhbVDzVnHFhv56rww%3D%3D&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
24,Airson,Junior Zero1 Sports shoes for Men | Gym Training Walking Running Shoes For Men Training & Gym Shoes For Men,₹898,4,"15,186 ratings and 859 reviews",https://www.flipkart.com/airson-junior-zero1-sports-shoes-men-gym-training-walking-running/p/itm8a937516b3153?pid=SHOGN9XBMSNEJ63Q&lid=LSTSHOGN9XBMSNEJ63QPRJAMG&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_101&otracker=search&otracker1=search&fm=organic&iid=en_7Mor9f7gaAvbCXL1BJV6j4vGE4mleb83VTTbNApaaNMd192I6KUEvUIdB6_F6SyCSy6BWESRqXuDtcbUiQ-L8A%3D%3D&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
25,KILLER,Comfortable Outdoor Sneakers For Men,₹799,3.8,"1,701 ratings and 136 reviews",https://www.flipkart.com/killer-comfortable-outdoor-sneakers-men/p/itm9bca32b05edd2?pid=SHOH4QUZVXSZMVGY&lid=LSTSHOH4QUZVXSZMVGYN6RP7H&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_109&otracker=search&otracker1=search&fm=organic&iid=4ee3cf81-9c3a-46fb-90c0-42e9cb93fdf7.SHOH4QUZVXSZMVGY.SEARCH&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
26,RED TAPE,"NITRO 802 Lightweight,Comfortable,Trendy,Running, Breathable,Gym Lace-Up Running Shoes For Men","₹1,119",4,790 ratings and 55 reviews,https://www.flipkart.com/action-nitro-802-lightweight-comfortable-trendy-running-breathable-gym-lace-up-running-shoes-men/p/itm0eabf6bc6ff11?pid=SHOGW5WWHATVPAZG&lid=LSTSHOGW5WWHATVPAZGKURLYI&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_114&otracker=search&otracker1=search&fm=organic&iid=4ee3cf81-9c3a-46fb-90c0-42e9cb93fdf7.SHOGW5WWHATVPAZG.SEARCH&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
27,AVANT,Vector Outdoor Sports Shoes with Enhanced Grip TPR Outsole & Laces Running Shoes Running Shoes For Men,"₹1,079",3.9,521 ratings and 28 reviews,https://www.flipkart.com/avant-vector-outdoor-sports-shoes-enhanced-grip-tpr-outsole-laces-running-men/p/itma2649cdb1f4be?pid=SHOGYCGW72VAK6TQ&lid=LSTSHOGYCGW72VAK6TQ9YQZVF&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_117&otracker=search&otracker1=search&fm=organic&iid=en_7Mor9f7gaAvbCXL1BJV6j4vGE4mleb83VTTbNApaaNNjKgJb19374ngvEqH1aFf78L7LWr8Wbn0vP0E59xH3ikhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
28,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_121&otracker=search&otracker1=search&fm=organic&iid=en_ewqYDKMHtW9eNXycRL2i99EbLR7SUGNcjDducG9M89M4JgAkVCsq-pMGmYStmJDp2XD_bwTtSXIUPfYA8rR5wQ%3D%3D&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
29,Arivo,White Sneakers for men Training & Gym Shoes For Men,₹839,No Rating,No Reviews,https://www.flipkart.com/arivo-white-sneakers-men-training-gym-shoes/p/itm3b0d5a19dfd7b?pid=SHOH8Q8ZAJFUCKC9&lid=LSTSHOH8Q8ZAJFUCKC9LJSP9K&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_125&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOH8Q8ZAJFUCKC9.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
30,TrendWalk,Sneakers For Men (White) Sneakers For Men,₹589,3.5,70 ratings and 2 reviews,https://www.flipkart.com/trendwalk-sneakers-men-white/p/itmfdb0b51b078ed?pid=SHOGMRXUTTKHHGYH&lid=LSTSHOGMRXUTTKHHGYH1RN6H1&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_129&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOGMRXUTTKHHGYH.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
31,KILLER,Comfortable Outdoor Sneakers For Men,₹799,3.8,"1,701 ratings and 136 reviews",https://www.flipkart.com/killer-comfortable-outdoor-sneakers-men/p/itm9bca32b05edd2?pid=SHOH4QUYZZFUUA73&lid=LSTSHOH4QUYZZFUUA73IABROS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_133&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOH4QUYZZFUUA73.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
32,asian,"Casual Sneaker Shoes For Men|| Soft Cushioned Insole, Slip-Resistance Running Shoes For Men","₹1,626",4.1,"8,794 ratings and 715 reviews",https://www.flipkart.com/asian-casual-sneaker-shoes-men-soft-cushioned-insole-slip-resistance-running-men/p/itmef3c2c693ec6e?pid=SHOGVKGU9F2RVGK7&lid=LSTSHOGVKGU9F2RVGK7P0KEDS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_137&otracker=search&otracker1=search&fm=organic&iid=en_ewqYDKMHtW9eNXycRL2i99EbLR7SUGNcjDducG9M89OWRVNpYJiGLTT38SLwHZK1tC-YdAZ1vPzqPrb9iD6S4vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
33,KILLER,KL8044 Lightweight Comfort Summer Trendy Premium Stylish Loafers For Men,₹674,3.7,"5,467 ratings and 264 reviews",https://www.flipkart.com/killer-kl8044-lightweight-comfort-summer-trendy-premium-stylish-loafers-men/p/itm015f72ed4c7eb?pid=SHOGFDGYCNXSD5RW&lid=LSTSHOGFDGYCNXSD5RWMLRSL9&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_141&otracker=search&otracker1=search&fm=organic&iid=en_ewqYDKMHtW9eNXycRL2i99EbLR7SUGNcjDducG9M89PF8V_SmUuT2sI_BwLs44vccUIAsIgl6YzeWtlE_TMGRQ%3D%3D&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
34,PUMA,Dwane IDP Casuals For Men,"₹1,007",4.2,"1,10,177 ratings and 11,365 reviews",https://www.flipkart.com/puma-dwane-idp-casuals-men/p/itmfhusedzvdjwhe?pid=SHOFHURGMTVQ7CVW&lid=LSTSHOFHURGMTVQ7CVWJ1CUUD&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_145&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOFHURGMTVQ7CVW.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
35,ATOM,Sneakers For Men,"₹1,149",3.6,8 ratings and 1 reviews,https://www.flipkart.com/zeta-sneakers-men/p/itm0474a77fe068f?pid=SHOGZJWXED9NKZ9N&lid=LSTSHOGZJWXED9NKZ9NGFSY7O&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_150&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOGZJWXED9NKZ9N.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
36,PUMA,Pointed Slip-On Casual Chelsea Boots Boots For Men,"₹1,440",No Rating,No Reviews,https://www.flipkart.com/roadster-pointed-slip-on-casual-chelsea-boots-men/p/itm5f9adf0cd3a40?pid=SHOH8QFQS2QGW9T8&lid=LSTSHOH8QFQS2QGW9T8L1OSYM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_4_156&otracker=search&otracker1=search&fm=organic&iid=5631dc75-92f9-40bb-b43a-62bd4cf7ec3b.SHOH8QFQS2QGW9T8.SEARCH&ppt=None&ppn=None&ssid=a1sg9000i80000001741796502235&qH=b0a8b6f820479900
37,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=shoes&store=osp&srno=s_5_161&otracker=search&otracker1=search&fm=organic&iid=en_mtZEJduvSQwOFvvviArmmUs-NTl2MoguYjaIwYbNjFqZVe4nHRd6lkNYoHstvgSf2XD_bwTtSXIUPfYA8rR5wQ%3D%3D&ppt=None&ppn=None&ssid=lud23jrsk00000001741796507382&qH=b0a8b6f820479900
38,WOODLAND,Outdoors For Men,"₹2,307",4.2,"13,726 ratings and 870 reviews",https://www.flipkart.com/woodland-outdoors-men/p/itm9387b56b0d69f?pid=SHOGMRY2YUQEMXGA&lid=LSTSHOGMRY2YUQEMXGAQ6RHRE&marketplace=FLIPKART&q=shoes&store=osp&srno=s_5_165&otracker=search&otracker1=search&fm=organic&iid=4a07d2a1-f7b4-47c8-8795-a773fbfdd548.SHOGMRY2YUQEMXGA.SEARCH&ppt=None&ppn=None&ssid=lud23jrsk00000001741796507382&qH=b0a8b6f820479900
39,BERSACHE,"Premium Sports ,Gym, Trending, Stylish Running Shoes For Men",₹861,3.8,"20,061 ratings and 1,183 reviews",https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-men/p/itm3af491bef6525?pid=SHOGDZ7RDUMJS72M&lid=LSTSHOGDZ7RDUMJS72M11VFUT&marketplace=FLIPKART&q=shoes&store=osp&srno=s_5_173&otracker=search&otracker1=search&fm=organic&iid=4a07d2a1-f7b4-47c8-8795-a773fbfdd548.SHOGDZ7RDUMJS72M.SEARCH&ppt=None&ppn=None&ssid=lud23jrsk00000001741796507382&qH=b0a8b6f820479900
40,REEBOK,"Casual Sneaker Shoes For Men|| Soft Cushioned Insole, Slip-Resistance Running Shoes For Men","₹1,025",4.1,"8,794 ratings and 715 reviews",https://www.flipkart.com/asian-casual-sneaker-shoes-men-soft-cushioned-insole-slip-resistance-running-men/p/itmef3c2c693ec6e?pid=SHOGVKGU9F2RVGK7&lid=LSTSHOGVKGU9F2RVGK7P0KEDS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_5_178&otracker=search&otracker1=search&fm=organic&iid=en_mtZEJduvSQwOFvvviArmmUs-NTl2MoguYjaIwYbNjFp1lahvLiYDdiEPBoj8aYGc97ZjfkORVm9ydnBlZRCiwvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=lud23jrsk00000001741796507382&qH=b0a8b6f820479900
41,CAMPUS,KL8044 Lightweight Comfort Summer Trendy Premium Stylish Loafers For Men,"₹1,565",3.7,"5,467 ratings and 264 reviews",https://www.flipkart.com/killer-kl8044-lightweight-comfort-summer-trendy-premium-stylish-loafers-men/p/itm015f72ed4c7eb?pid=SHOGFDGYCNXSD5RW&lid=LSTSHOGFDGYCNXSD5RWMLRSL9&marketplace=FLIPKART&q=shoes&store=osp&srno=s_5_182&otracker=search&otracker1=search&fm=organic&iid=en_mtZEJduvSQwOFvvviArmmUs-NTl2MoguYjaIwYbNjFoQTq4YSzstZV8cUdIENpcvoYexj4xcJG3QGX9jfOFgng%3D%3D&ppt=None&ppn=None&ssid=lud23jrsk00000001741796507382&qH=b0a8b6f820479900
