Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
65,PUMA,Coarse Sneakers For Men,"₹2,280",4.1,"5,983 ratings and 349 reviews",https://www.flipkart.com/puma-coarse-sneakers-men/p/itm3e0d4449877d8?pid=SHOGMYD2GNHG3HNW&lid=LSTSHOGMYD2GNHG3HNWQTGRZC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_298&otracker=search&otracker1=search&fm=organic&iid=en_-2pPvyFzdukSQlnTDTWATS3mC1HprOAPioSjGRibDhMoy4H_d0IlXJnvT4QRik17TWUxhNJvYoh4Fkg6-c_T8A%3D%3D&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
66,PUMA,PUMA Grasp Walking Shoes For Men,"₹3,719",3.8,"1,466 ratings and 82 reviews",https://www.flipkart.com/puma-grasp-walking-shoes-men/p/itmbfb2194a87c5f?pid=SHOGH3GVGKF3JFDA&lid=LSTSHOGH3GVGKF3JFDAX2O0LR&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_304&otracker=search&otracker1=search&fm=organic&iid=5dbb15a9-ceb9-408a-bde7-dedca930b5c0.SHOGH3GVGKF3JFDA.SEARCH&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
67,PUMA,BMW Motorsport Drift Cat 5 Ultra Motorsport Shoes For Men,"₹1,485",4.3,"1,689 ratings and 166 reviews",https://www.flipkart.com/puma-bmw-motorsport-drift-cat-5-ultra-shoes-men/p/itmfcytwzstvsznj?pid=SHOFCYGKK3YZYZSM&lid=LSTSHOFCYGKK3YZYZSMXLPWA0&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_308&otracker=search&otracker1=search&fm=organic&iid=en_-2pPvyFzdukSQlnTDTWATS3mC1HprOAPioSjGRibDhOrtJwaxFK0UlLfOpaI6J96AYEP1Pmi57ACg_NBFZP30kKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
68,PUMA,Lazer Evo IDP Walking Shoes For Men,₹977,4.1,"3,228 ratings and 237 reviews",https://www.flipkart.com/puma-lazer-evo-idp-walking-shoes-men/p/itmfd879tuwqzzu6?pid=SHOFD86W7G9QRTFZ&lid=LSTSHOFD86W7G9QRTFZG7U9IR&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_309&otracker=search&otracker1=search&fm=organic&iid=5dbb15a9-ceb9-408a-bde7-dedca930b5c0.SHOFD86W7G9QRTFZ.SEARCH&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
69,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_317&otracker=search&otracker1=search&fm=organic&iid=en_-2pPvyFzdukSQlnTDTWATS3mC1HprOAPioSjGRibDhOnfqXjm_t6HsJk1Z7PBrUKgTvtf1AKCAb3vcEJ-bcu14nfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
70,PUMA,Coscon Casuals For Men,"₹1,007",3.9,133 ratings and 5 reviews,https://www.flipkart.com/puma-coscon-casuals-men/p/itm0af0853aa4e62?pid=SHOGVZ4DJARNFENS&lid=LSTSHOGVZ4DJARNFENSW2CYMH&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_323&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOGVZ4DJARNFENS.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
71,PUMA,Club 5v5 Sneakers For Men,"₹2,660",4.2,260 ratings and 18 reviews,https://www.flipkart.com/puma-club-5v5-sneakers-men/p/itmbafde3a92388a?pid=SHOGQAN7NSQY7XTH&lid=LSTSHOGQAN7NSQY7XTHZJJTOW&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_325&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOGQAN7NSQY7XTH.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
72,Passeo,Chunky & Fashionable Sneaker | Running Shoes with Rubber Outsole Sneakers For Men,₹689,3.5,46 ratings and 3 reviews,https://www.flipkart.com/passeo-chunky-fashionable-sneaker-running-shoes-rubber-outsole-sneakers-men/p/itm7d0e405e708c0?pid=SHOH59Z2JWVTAG82&lid=LSTSHOH59Z2JWVTAG82SJZCDC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_329&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOH59Z2JWVTAG82.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
73,PUMA,Puma Dryflex IDP Running Shoes For Men,₹805,3.9,"8,690 ratings and 828 reviews",https://www.flipkart.com/puma-dryflex-idp-running-shoes-men/p/itmdca516a8754f6?pid=SHOFNU2WBBFAGQNS&lid=LSTSHOFNU2WBBFAGQNSSSWARZ&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_333&otracker=search&otracker1=search&fm=organic&iid=a765888a-3180-4751-9f84-e3efb45166ca.SHOFNU2WBBFAGQNS.SEARCH&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
74,PUMA,Rungryp Sneakers For Men,"₹1,650",4.1,"42,556 ratings and 2,789 reviews",https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm7b4744135bc9c?pid=SHOGQAZDXZPJHYP9&lid=LSTSHOGQAZDXZPJHYP95FZQQ5&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_9_337&otracker=search&otracker1=search&fm=organic&iid=en_6irfpEEhf9lbI9cEg48TPFfkM2N2_LW6tVo3-iT-JarF1kLaZsIQgPZ7CjJ0RpPTV7FwxLZN5lNwT4HdckkdFg%3D%3D&ppt=None&ppn=None&ssid=htyct9568w0000001741790511037&qH=12daa41359850f83
