product_name,price,rating,number_of_reviews,product_url
Busy Getting Bored Printed T-Shirt,489,5,N/A,https://www.bewakoof.com/p/bushirt-busy-getting-bored-printed-t-shirt
Angry Panda Printed T-Shirt,459,4.9,N/A,https://www.bewakoof.com/p/bushirt-angry-panda-printed-t-shirt
Stay High Printed T-Shirt,489,1,N/A,https://www.bewakoof.com/p/bushirt-stay-high-printed-t-shirt
Men's Black Straight Fit Jeans,899,1,N/A,https://www.bewakoof.com/p/mens-black-straight-fit-jeans-jet-black-men
Men's Light Blue Straight Fit Jeans,1259,5,1 reviews,https://www.bewakoof.com/p/mens-light-blue-straight-fit-jeans
Men's Navy Blue Washed Shirt,1299,N/A,N/A,https://www.bewakoof.com/p/men-regular-fit-denim-shirt-full-sleeve-acid-washed-navy-blue-men
Men's Navy Blue Washed Shirt,1299,N/A,N/A,https://www.bewakoof.com/p/men-regular-fit-denim-shirt-full-sleeve-acid-washed-navy-blue
Men's Black Loose Comfort Fit Jeans,1049,4.7,1 reviews,https://www.bewakoof.com/p/mens-black-loose-comfort-fit-jeans
Men's Grey Washed Baggy Relaxed Fit Jeans,1599,1,N/A,https://www.bewakoof.com/p/mens-grey-washed-baggy-relaxed-fit-jeans
Men's Black Loose Comfort Fit Cargo Jeans,999,5,N/A,https://www.bewakoof.com/p/mens-black-loose-comfort-fit-jeans-men
Men's Light Blue Washed Loose Comfort Fit Jeans,1049,4.8,3 reviews,https://www.bewakoof.com/p/mens-light-blue-washed-loose-comfort-fit-jeans
Men's Black Washed Jeans,874,N/A,N/A,https://www.bewakoof.com/p/mens-black-washed-jeans-men
Men's Black Washed Distressed Tapered Fit Jeans,1459,1,N/A,https://www.bewakoof.com/p/mens-black-washed-distressed-tapered-fit-jeans-60104bymwjnsta
Men's Sky Blue Washed Shirt,1299,N/A,N/A,https://www.bewakoof.com/p/men-regular-fit-denim-shirt-full-sleeve-acid-washed-light-blue-men
Men's Blue Washed Shirt,1299,N/A,N/A,https://www.bewakoof.com/p/men-regular-fit-denim-shirt-full-sleeve-acid-washed-blue
Men's Blue Baggy Cargo Jeans,1119,5,1 reviews,https://www.bewakoof.com/p/mens-blue-cargo-jeans-men
Men's Slate Blue Washed Denim Shirt,999,N/A,N/A,https://www.bewakoof.com/p/mens-slate-blue-washed-denim-shirt
Men's Dark Blue Denim Shirt,1099,N/A,N/A,https://www.bewakoof.com/p/mens-dark-blue-denim-shirt-blue
Men's Dark Blue Denim Shirt,1099,N/A,N/A,https://www.bewakoof.com/p/mens-dark-blue-denim-shirt-dark
Men's Slate Blue Washed Denim Shirt,1099,N/A,N/A,https://www.bewakoof.com/p/mens-slate-blue-washed-denim-shirt-denim
Men's Stone Blue Washed Denim Shirt,1099,N/A,N/A,https://www.bewakoof.com/p/mens-stone-blue-washed-denim-shirt-stone
Men's Navy Blue Loose Comfort Fit Jeans,1049,1,N/A,https://www.bewakoof.com/p/mens-navy-blue-loose-comfort-fit-jeans
Men's Dark Blue Loose Comfort Fit Jeans,1049,4.2,N/A,https://www.bewakoof.com/p/mens-dark-blue-loose-comfort-fit-jeans
Men's Navy Blue Washed Distressed Loose Comfort Fit Jeans,1049,5,1 reviews,https://www.bewakoof.com/p/mens-navy-blue-washed-distressed-loose-comfort-fit-jeans
Men's Black Bootcut Jeans,1735,N/A,N/A,https://www.bewakoof.com/p/mens-black-bootcut-jeans
Men's Blue Washed Distressed Loose Comfort Fit Jeans,1049,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-distressed-loose-comfort-fit-jeans
Men's Charcoal Grey Washed Loose Comfort Fit Jeans,1049,4.5,2 reviews,https://www.bewakoof.com/p/mens-charcoal-grey-washed-loose-comfort-fit-jeans
Men's Blue & Black Washed Hooded Denim Jacket,1299,N/A,N/A,https://www.bewakoof.com/p/mens-blue-black-washed-hooded-denim-jacket
Men's Blue Tie & Dye Henley Neck T-shirt,449,4.2,4 reviews,https://www.bewakoof.com/p/campus-sutra-solid-men-henley-neck-stylish-new-trends-royal-blue-casual-t-shirt-ss21hnysprmplnrbwh
Men's Blue Make Tracks Graphic Printed T-shirt,519,4.4,49 reviews,https://www.bewakoof.com/p/make-tracks-full-sleeve-t-shirt-navy-blue
Men's Black Adventure Time Graphic Printed T-shirt,399,4.7,98 reviews,https://www.bewakoof.com/p/adventure-time-half-sleeve-t-shirt
Men's Black Mickey Trio Call (DL) Graphic Printed T-shirt,449,4.7,163 reviews,https://www.bewakoof.com/p/mickey-trio-call-half-sleeve-t-shirt-for-men
Men's White Never Give Up Typography Vest,399,4.8,38 reviews,https://www.bewakoof.com/p/never-give-up-vest-for-men
Men's Black All Over Printed T-shirt,399,4.8,51 reviews,https://www.bewakoof.com/p/constellations-men-aop-103
White Half Sleeve Plus Size T-Shirt,699,4.7,23 reviews,https://www.bewakoof.com/p/plain-half-sleeves-t-shirt-plus-size
Black Half Sleeve Plus Size T-Shirt,699,4.8,32 reviews,https://www.bewakoof.com/p/black-mens-half-sleeves-plain-t-shirt-plus-size
Men's Black Zipper Sweatshirt,1199,4.8,60 reviews,https://www.bewakoof.com/p/black-zipper-sweatshirt-aw-21-plain
Men's Black Windcheater Jacket,1499,4.7,28 reviews,https://www.bewakoof.com/p/black-inner-contrast-hoodie-windcheater-aw-21
Men's Yellow T-shirt,399,4.5,31 reviews,https://www.bewakoof.com/p/lemon-drop-half-sleeve-t-shirt
Men's Black Oversized Hoodies,1499,4.7,49 reviews,https://www.bewakoof.com/p/black-loose-fit-hoodie-sweatshirt-aw21
Men's Black Hoodies,1299,4.5,64 reviews,https://www.bewakoof.com/p/black-hoodie-sweatshirt-aw21
Men's Black Sweatshirt,1199,4.7,63 reviews,https://www.bewakoof.com/p/black-crewneck-fleece-sweatshirt-aw-21
Men's White Camo Oversized Hoodies,1499,4.8,23 reviews,https://www.bewakoof.com/p/camo-hoodie-sweatshirt-aw-21-men
Men's Blue & Yellow Color Block Hoodies,1299,4.7,23 reviews,https://www.bewakoof.com/p/black-blue-qurtz-cut-n-sew-hoodie-sweatshirt-men
Men's Blue Rider Vroom Panda Graphic Printed T-shirt,399,4.6,121 reviews,https://www.bewakoof.com/p/vroom-panda-half-sleeve-t-shirt
Men's Aqua Green T-shirt,399,4.7,24 reviews,https://www.bewakoof.com/p/travel-icon-mens-aop-half-sleeves-t-shirts
Men's Black Daffy Awesome Graphic Printed T-shirt,449,4.7,100 reviews,https://www.bewakoof.com/p/daffy-awesome-half-sleeve-t-shirt-for-men
Women's Red T-shirt,399,4.6,7 reviews,https://www.bewakoof.com/p/black-dark-navy-white-imperial-red-crewneck-varsity-rib-plain-women
Men's Black Be a Leader Typography T-shirt,399,4.7,94 reviews,https://www.bewakoof.com/p/leader-full-sleeve-t-shirt-black
Men's Maroon Color Block Zipper Hoodies,799,4.8,16 reviews,https://www.bewakoof.com/p/maroon-banner-white-black-colorblock-zipper-hoodie-sweatshirt-aw-21
Men's Black Sliding Bat Lightweight Adjustable Strap Sliders,351,4.6,94 reviews,https://www.bewakoof.com/p/sliding-bat-lightweight-adjustable-strap-men-slider
Men's Black Graphic Printed Oversized T-shirt,519,4.7,11 reviews,https://www.bewakoof.com/p/black-aop-half-n-half-street-wear-t-shirt
Men's Olive Astronaut AOP Hoodies,899,4.7,33 reviews,https://www.bewakoof.com/p/winter-moss-maroon-aop-hoodie-sweatshirt-aw-21
Men's Black Camo Bomber Jackets,1249,4.8,12 reviews,https://www.bewakoof.com/p/olive-camo-bomber-jackets-aw-21
Men's Black Mickey Typography Flat Knit Sweater,649,4.8,15 reviews,https://www.bewakoof.com/p/black-full-sleeve-flat-knit-sweater-men-black-01-plain
Men's White My Dark Side Typography Hoodies,899,4.8,3 reviews,https://www.bewakoof.com/p/white-black-color-block-hoodie-sweatshirt-aw-21
Men's Blue Hoodies,899,4.5,17 reviews,https://www.bewakoof.com/p/navy-blue-hoodie-sweatshirt-aw21
Men's Olive Camo Puffer Jacket,1499,4.8,1 reviews,https://www.bewakoof.com/p/olive-reversible-camo-puffer-jacket-for-men
Men's Black High Colors Graphic Printed T-shirt,529,4.7,62 reviews,https://www.bewakoof.com/p/high-colors-full-sleeve-t-shirt-black
Men's White Vroom Panda Graphic Printed T-shirt,399,4.8,40 reviews,https://www.bewakoof.com/p/vroom-panda-half-sleeve-t-shirt-men
Men's Black Elite Ninja Graphic Printed T-shirt,299,4.7,175 reviews,https://www.bewakoof.com/p/elite-ninja-half-sleeve-t-shirt
Men's Black Sunset Block Graphic Printed T-shirt,549,4.7,69 reviews,https://www.bewakoof.com/p/sunset-block-full-sleeve-t-shirt-for-men
Men's Red T-shirt,399,4.6,23 reviews,https://www.bewakoof.com/p/imperial-red-dark-navy-white-imperial-red-crewneck-varsity-for-men
Escape The Ordinary Crewneck Varsity Rib T-Shirt,299,4.9,5 reviews,https://www.bewakoof.com/p/not-so-ordinary-crewneck-varsity-rib-h-s-t-shirt
Women's Black Camouflage Printed Slim Fit T-shirt,299,4.8,22 reviews,https://www.bewakoof.com/p/black-camo-plain-shoulder-sleeves-panel-half-sleeves-camo-t-shirt-for-women
Imperial Red Boyfriend Varsity Rib T-shirt,399,4.5,10 reviews,https://www.bewakoof.com/p/imperial-red-dark-navy-white-imperial-red-boyfriend-varsity-plain
